c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 2788 
p cnf 100 250
w 90 12 3 13 50 32 34 67 34 55 60 87 87 69 77 71 77 50 3 78 2 18 70 84 58 69 3 92 26 52 67 15 15 69 27 17 52 61 83 38 67 94 24 53 63 1 75 39 50 77 17 3 46 38 86 55 6 40 47 84 44 65 98 10 85 77 78 37 89 12 26 55 6 49 59 20 1 33 58 2 61 26 4 6 15 41 61 73 33 7 56 28 71 5 37 55 33 15 43 21
5 -91 -9 0
-68 2 75 0
-99 -74 -30 0
-23 -68 -49 0
-13 75 -59 0
60 57 -49 0
45 -28 32 0
-90 -62 100 0
-22 60 6 0
86 47 -100 0
61 28 -67 0
54 70 88 0
-94 -69 -55 0
-35 -13 34 0
62 -17 77 0
45 -76 70 0
-19 -90 24 0
15 -42 88 0
78 -12 -81 0
90 5 -66 0
25 -54 51 0
-39 -66 67 0
-97 19 -64 0
53 74 19 0
67 32 -86 0
-66 -84 54 0
20 -55 86 0
83 -48 32 0
44 82 61 0
-27 -55 -65 0
-59 11 -18 0
-31 -37 -12 0
-49 9 -94 0
-48 71 -69 0
-12 -17 24 0
-34 -56 -49 0
-30 -15 89 0
56 1 -27 0
-72 43 -66 0
86 54 3 0
80 62 71 0
-43 -98 100 0
58 -25 -33 0
97 -45 -26 0
54 59 -72 0
30 -39 -3 0
-18 -77 -58 0
52 -67 -89 0
20 74 90 0
21 -99 30 0
60 67 49 0
90 54 95 0
-61 -72 50 0
35 88 63 0
-36 16 -96 0
-30 29 -54 0
88 -57 -20 0
83 80 -79 0
-20 -73 77 0
-61 70 99 0
79 -49 -98 0
-67 42 10 0
28 -43 73 0
1 8 77 0
-97 83 46 0
77 13 50 0
-52 4 -16 0
-82 -5 44 0
-39 -85 16 0
-2 91 94 0
-47 -63 44 0
13 -15 -12 0
62 48 100 0
-73 -98 65 0
-59 -99 77 0
-89 15 68 0
-58 -50 -90 0
-8 -1 -30 0
85 47 -92 0
-21 -15 38 0
-15 31 32 0
-57 -26 -78 0
-67 75 99 0
88 87 -63 0
-29 18 89 0
-70 59 19 0
86 -94 -31 0
-51 100 -15 0
65 -10 -48 0
99 83 62 0
-28 17 -7 0
80 52 -34 0
32 56 70 0
36 4 42 0
43 -71 3 0
74 2 43 0
-4 -48 -92 0
75 -25 -88 0
-57 26 -66 0
90 -19 -40 0
72 -95 11 0
-44 36 38 0
-69 -95 -62 0
-66 60 -12 0
63 -81 7 0
51 94 -32 0
-21 -87 -43 0
93 -2 -67 0
-29 -44 -18 0
43 32 19 0
13 46 -48 0
69 98 44 0
74 8 61 0
-52 -46 95 0
56 -55 -67 0
-15 63 56 0
-89 -29 39 0
100 -57 73 0
-96 -33 -55 0
59 -81 96 0
-28 -38 -79 0
-91 17 -86 0
21 24 -2 0
-14 27 55 0
24 -14 27 0
-76 -27 65 0
46 -98 72 0
18 -52 91 0
56 7 62 0
-48 92 -87 0
6 99 -26 0
-65 68 -94 0
-57 -22 23 0
34 49 -78 0
100 -23 -25 0
8 -51 3 0
-43 29 77 0
60 86 -94 0
64 63 -62 0
55 31 -81 0
78 2 -81 0
47 -96 27 0
-14 1 -36 0
21 72 -59 0
95 -98 -40 0
-31 -11 17 0
74 -32 13 0
71 -50 18 0
-85 36 -22 0
-46 98 -67 0
-48 -65 71 0
-9 85 -99 0
-41 48 66 0
46 -54 -93 0
-81 -60 41 0
90 -85 9 0
88 -68 97 0
98 -9 10 0
19 29 40 0
-51 44 78 0
-8 18 86 0
75 -57 1 0
95 19 -43 0
-69 84 -17 0
47 -12 87 0
-87 -81 7 0
40 -50 13 0
-15 -13 80 0
4 -55 -2 0
-16 -77 56 0
-27 -43 -61 0
-100 -81 -73 0
20 41 77 0
-82 47 -58 0
-7 97 -2 0
-97 -40 -23 0
-8 -23 -79 0
-57 99 23 0
83 -30 49 0
-4 36 -61 0
30 5 -66 0
-2 72 88 0
-20 59 14 0
-45 -20 87 0
42 -31 -27 0
-92 -74 -39 0
22 4 -92 0
-10 37 34 0
-25 -3 91 0
64 27 87 0
93 -65 97 0
-87 78 -7 0
-14 -92 83 0
45 35 -83 0
-6 72 -75 0
79 25 -18 0
-9 23 21 0
84 -30 48 0
46 95 33 0
-67 39 -31 0
-64 -22 -74 0
10 30 -83 0
49 -16 -56 0
86 35 25 0
6 -71 16 0
16 6 50 0
70 35 21 0
94 86 -98 0
-18 -14 13 0
-99 26 -11 0
78 4 47 0
-75 42 -11 0
-31 99 -84 0
-14 -32 51 0
-5 4 -43 0
72 40 98 0
40 -57 19 0
17 -100 -38 0
51 -32 -66 0
41 -24 -71 0
-53 8 -61 0
-48 -47 8 0
66 -29 -49 0
-86 98 85 0
76 84 68 0
-19 -65 39 0
-59 39 48 0
21 -100 87 0
-94 -54 34 0
77 -60 -28 0
-61 -85 68 0
69 95 86 0
-53 49 -67 0
-22 58 -82 0
-91 -6 15 0
62 71 10 0
-28 -35 -4 0
25 -33 96 0
-54 53 93 0
-16 -75 46 0
-36 44 -8 0
11 -96 -61 0
-84 63 -38 0
-17 -30 -4 0
36 -10 29 0
41 52 35 0
85 43 -24 0
-30 21 62 0
17 -14 9 0
33 17 -39 0
